dataset_idx,dataset,run,ref_method,target_fnum,target_fratio,was_filled
1.0,Glass,1,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,2,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,3,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,4,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,5,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,6,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,7,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,8,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,9,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,10,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,11,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,12,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,13,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,14,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,15,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,16,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,17,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
